time,p1,p2,p3
2024-07-19 00:41:10.654814+00,64.689941,56.427113,15.148232
2024-07-19 00:41:25.544341+00,58.160534,56.744041,32.167625
2024-07-19 00:41:43.514837+00,82.792320,83.955055,24.027964
2024-07-19 00:41:58.400687+00,82.555664,66.819374,12.941103
2024-07-19 00:42:13.329379+00,74.959160,65.531342,12.330389
2024-07-19 00:42:31.383714+00,55.305473,79.718117,45.100517
2024-07-19 00:42:46.309478+00,78.832626,89.543480,32.008560
2024-07-19 00:43:01.212751+00,85.391144,67.468292,9.650730
2024-07-19 00:43:19.201129+00,73.278336,83.338661,32.023586
2024-07-19 00:43:34.104379+00,83.866264,68.308548,11.406156
2024-07-19 00:43:49.027326+00,51.747070,60.263912,34.666893
2024-07-19 00:44:03.966806+00,87.427704,75.587349,12.699985
2024-07-19 00:44:21.90458+00,90.669762,75.001083,9.867328
2024-07-19 00:44:36.841366+00,61.332874,84.452011,39.029316
2024-07-19 00:44:51.742177+00,77.318214,55.704945,9.943242
2024-07-19 00:45:09.808102+00,87.289017,67.294777,12.340974
2024-07-19 00:45:24.729329+00,54.651566,64.414619,43.717342
2024-07-19 00:45:39.60577+00,85.251366,68.807159,11.683601
2024-07-19 00:45:57.565444+00,78.623352,56.677303,11.741709
2024-07-19 00:46:12.484065+00,61.982079,86.532440,33.917439
2024-07-19 00:46:27.419944+00,60.782982,55.707417,24.654497
2024-07-19 00:46:45.439816+00,52.743855,67.144043,46.031643
2024-07-19 00:47:00.352322+00,58.963326,52.123581,29.294031
2024-07-19 00:47:15.299906+00,55.657452,63.971588,43.213554
2024-07-19 00:47:33.265016+00,56.927666,79.231522,47.588398
2024-07-19 00:47:48.166399+00,65.994453,82.945885,42.084724
2024-07-19 00:48:03.169157+00,89.083984,61.890011,10.171573
2024-07-19 00:48:18.169463+00,64.000679,82.472496,40.854935
2024-07-19 00:48:35.910267+00,69.279373,54.974827,24.987036
2024-07-19 00:48:50.859089+00,57.427753,74.537750,48.581722
2024-07-19 00:49:05.743123+00,69.880806,87.298019,27.776402
2024-07-19 00:49:23.889978+00,68.713852,72.920700,39.544579
2024-07-19 00:49:38.887764+00,59.344078,61.157928,40.548584
2024-07-19 00:49:53.741896+00,85.124939,57.195396,9.279289
2024-07-19 00:50:11.671074+00,62.930809,83.097969,39.437054
2024-07-19 00:50:26.562482+00,55.156506,67.897049,42.265285
2024-07-19 00:50:41.476569+00,70.217384,55.383312,37.669754
2024-07-19 00:50:59.481248+00,70.662109,57.510246,20.322592
2024-07-19 00:51:14.387794+00,70.257759,54.610657,27.466017
2024-07-19 00:51:29.297814+00,64.424294,55.642548,40.117466
2024-07-19 00:51:44.207838+00,66.358856,57.845585,28.402397
2024-07-19 00:52:02.214856+00,87.335251,70.736137,16.883320
2024-07-19 00:52:17.147462+00,83.356674,81.629982,20.470633
2024-07-19 00:52:31.965505+00,59.708401,58.681641,42.690899
2024-07-19 00:52:50.130581+00,55.033287,60.727127,38.579498
2024-07-19 00:53:04.997355+00,49.826351,72.539101,44.890099
2024-07-19 00:53:19.925954+00,61.659340,78.599007,34.454895
2024-07-19 00:53:37.856602+00,80.455833,60.829258,13.762657
2024-07-19 00:53:52.764806+00,77.436287,60.644012,14.980430
2024-07-19 00:54:07.692436+00,70.565811,54.694267,21.189152
2024-07-19 00:54:25.741415+00,84.660721,65.333282,9.786627
2024-07-19 00:54:40.650499+00,84.694588,72.426529,11.321810
2024-07-19 00:54:55.584741+00,85.642342,86.166740,26.764183
2024-07-19 00:55:10.459726+00,55.585510,78.204735,44.823280
2024-07-19 00:55:28.481739+00,57.110783,80.584923,43.814064
2024-07-19 00:55:43.399232+00,76.854202,56.613747,14.327662
2024-07-19 00:55:58.335787+00,83.301888,80.086365,24.552738
2024-07-19 00:56:16.294268+00,87.801941,78.501518,12.420806
2024-07-19 00:56:31.205133+00,85.482841,81.056870,16.857058
2024-07-19 00:56:46.114031+00,85.666534,74.339783,17.090933
2024-07-19 00:57:04.163765+00,51.446945,77.802750,42.876568
2024-07-19 00:57:19.007587+00,69.029808,84.777184,29.581900
2024-07-19 00:57:33.825996+00,75.270187,56.322872,22.504110
2024-07-19 00:57:49.926775+00,87.716980,68.107491,11.408448
2024-07-19 00:58:04.730011+00,62.639698,56.747787,24.657856
2024-07-19 00:58:19.632391+00,60.980675,78.529800,37.628777
2024-07-19 00:58:34.633922+00,80.460350,60.053246,13.298620
2024-07-19 00:58:52.768352+00,57.297638,74.894577,45.229263
2024-07-19 00:59:07.603341+00,76.696823,64.460411,10.423445
2024-07-19 00:59:22.541026+00,83.173172,78.857147,14.522795
2024-07-19 00:59:40.497007+00,73.567978,58.170551,18.423611
2024-07-19 00:59:55.471455+00,81.875725,79.767303,12.803768
2024-07-19 01:00:10.324081+00,63.658947,86.288376,31.142078
2024-07-19 01:00:28.352502+00,60.296947,60.050629,36.109486
2024-07-19 01:00:43.223106+00,68.563095,54.463211,24.901060
2024-07-19 01:00:58.136202+00,84.825020,65.821426,20.676765
2024-07-19 01:01:16.209931+00,60.587711,81.096443,30.443806
2024-07-19 01:01:31.08985+00,85.895844,60.556499,16.191391
2024-07-19 01:01:45.906951+00,60.907703,84.612091,39.157158
2024-07-19 01:02:00.807134+00,76.710632,63.592644,24.954910
2024-07-19 01:02:19.025686+00,56.202023,88.716072,48.690617
2024-07-19 01:02:34.022177+00,67.439499,55.691559,28.395414
2024-07-19 01:02:48.88094+00,73.617989,87.626175,30.460463
2024-07-19 01:03:06.694662+00,80.319893,85.557747,23.927378
2024-07-19 01:03:21.675093+00,57.150017,70.198936,42.772888
2024-07-19 01:03:36.672723+00,78.671272,58.789207,19.130026
2024-07-19 01:03:54.63797+00,86.697083,68.390923,10.669905
2024-07-19 01:04:09.527867+00,89.309845,70.536118,12.649088
2024-07-19 01:04:24.415662+00,90.435745,64.802689,8.119302
2024-07-19 01:04:42.443474+00,79.744781,85.645065,30.892981
2024-07-19 01:04:57.389933+00,92.348259,71.321533,15.661378
2024-07-19 01:05:12.297034+00,86.170135,60.418446,15.204509
2024-07-19 01:05:27.166373+00,71.453384,60.424713,12.892873
2024-07-19 01:05:45.133296+00,85.107323,85.178917,22.099016
2024-07-19 01:06:00.06074+00,88.189865,71.761292,22.136831
2024-07-19 01:06:14.969877+00,88.897072,74.887421,13.667823
2024-07-19 01:06:32.934515+00,75.877953,81.138725,21.407122
2024-07-19 01:06:47.731722+00,65.348648,58.062973,35.148750
2024-07-19 01:07:02.70989+00,87.270111,77.763130,5.687481
2024-07-19 01:07:20.890111+00,71.258514,55.238487,30.725708
2024-07-19 01:07:35.887837+00,84.519989,78.373543,9.941769
2024-07-19 01:07:50.764112+00,54.324646,77.465027,48.493755
2024-07-19 01:08:08.678886+00,67.208199,84.738747,28.902016
2024-07-19 01:08:23.67781+00,55.765690,67.434265,42.723423
2024-07-19 01:08:38.681965+00,86.778206,81.101608,24.942463
2024-07-19 01:08:56.513921+00,77.208534,83.701073,10.023343
2024-07-19 01:09:11.424927+00,81.017288,66.603600,11.478300
2024-07-19 01:09:26.334479+00,81.245247,73.987823,10.992486
2024-07-19 01:09:41.267622+00,76.540405,86.183891,29.482798
2024-07-19 01:09:59.246751+00,84.595093,68.535194,7.802447
2024-07-19 01:10:14.177871+00,89.670395,69.831001,2.254749
2024-07-19 01:10:29.067775+00,90.016174,71.514122,14.682129
2024-07-19 01:10:47.016397+00,57.056679,77.597244,44.395115
2024-07-19 01:11:01.980929+00,72.537483,81.625870,34.088356
2024-07-19 01:11:16.784512+00,85.160103,75.580467,15.659602
2024-07-19 01:11:34.929801+00,80.897896,73.532295,11.103347
2024-07-19 01:11:49.929456+00,56.642811,75.827011,39.202648
2024-07-19 01:12:04.92943+00,76.538452,59.456154,11.552712
2024-07-19 01:12:22.749538+00,73.674873,71.000816,11.358844
2024-07-19 01:12:37.68582+00,68.892273,87.344505,33.106514
2024-07-19 01:12:52.485054+00,65.304321,55.754875,21.151636
2024-07-19 01:13:07.282481+00,60.714802,82.217613,41.198715
2024-07-19 01:13:25.537156+00,68.549225,55.178917,29.213360
2024-07-19 01:13:40.352558+00,77.705696,83.505600,22.693577
2024-07-19 01:13:55.303132+00,69.599602,81.090546,38.276497
2024-07-19 01:14:13.241823+00,79.065720,84.448975,22.860308
2024-07-19 01:14:28.047489+00,88.507408,68.099655,11.808710
2024-07-19 01:14:42.98957+00,54.994522,58.999786,43.830322
2024-07-19 01:15:01.131808+00,54.323891,68.405060,39.950371
2024-07-19 01:15:15.932164+00,78.511658,79.845650,22.492395
2024-07-19 01:15:30.756953+00,78.333443,57.706291,12.672928
2024-07-19 01:15:48.482014+00,62.449551,84.228508,39.391296
2024-07-19 01:16:03.405408+00,88.644905,75.340927,15.187800
2024-07-19 01:16:18.291859+00,86.971275,59.167160,9.545658
2024-07-19 01:16:33.15977+00,84.524612,60.146935,13.678011
2024-07-19 01:16:51.190996+00,66.387352,79.078674,24.777878
2024-07-19 01:17:06.080232+00,67.445938,83.307388,37.996273
2024-07-19 01:17:20.989795+00,64.142860,81.459671,35.526043
2024-07-19 01:17:39.023407+00,69.424919,53.201462,24.082420
2024-07-19 01:17:53.906654+00,62.507645,55.690353,29.036123
2024-07-19 01:18:08.872707+00,58.178436,78.360046,41.406029
2024-07-19 01:18:26.841068+00,58.563869,55.076050,36.704617
2024-07-19 01:18:41.768909+00,57.348862,64.532249,44.661873
2024-07-19 01:18:56.715853+00,59.392628,82.308151,42.919922
2024-07-19 01:19:14.720966+00,55.170277,72.630318,42.763004
2024-07-19 01:19:29.722036+00,85.976295,81.679276,16.903202
2024-07-19 01:19:44.720732+00,55.532955,74.389397,45.709648
2024-07-19 01:19:59.723554+00,80.633865,63.187340,20.561424
2024-07-19 01:20:16.0266+00,87.903221,61.723030,10.456371
2024-07-19 01:20:30.888893+00,56.154430,60.917984,34.328621
2024-07-19 01:20:45.713379+00,61.643024,72.095581,39.219158
2024-07-19 01:21:03.838285+00,55.036259,72.422615,44.939426
2024-07-19 01:21:18.641771+00,66.812439,88.198158,35.968384
2024-07-19 01:21:33.442268+00,86.878143,68.732956,12.861060
2024-07-19 01:21:51.163984+00,71.182022,86.061790,23.367910
2024-07-19 01:22:01.095912+00,80.969200,58.979496,19.158808
2024-07-19 01:22:16.093295+00,79.698303,83.346451,23.519781
2024-07-19 01:22:41.974377+00,70.641930,75.493736,26.679861
2024-07-19 01:22:56.86646+00,53.468277,77.320396,38.088577
2024-07-19 01:23:11.739624+00,57.366882,57.827686,38.292431
2024-07-19 01:23:29.791816+00,84.665489,77.927002,19.137386
2024-07-19 01:23:44.666704+00,55.653637,84.205704,39.865555
2024-07-19 01:23:59.664167+00,59.860542,53.876873,33.130520
2024-07-19 01:24:14.664273+00,79.007858,77.261108,20.122532
2024-07-19 01:24:32.585829+00,74.001892,80.154549,24.446180
